id,title,popularity,trending_score,release_date,poster_url,overview
1217690,Homestead,45.7687,5.902,2024-12-19,https://image.tmdb.org/t/p/w500/fKts7WTTP7KWvI6N7WYIuEhmgXP.jpg,"A nuclear bomb is detonated in Los Angeles, and the nation devolves into unprecedented chaos. Ex-Green Beret Jeff Eriksson and his family escape to The Homestead, an eccentric prepper’s fortress nestled in the mountains. As violent threats and apocalyptic conditions creep toward their borders, the residents of The Homestead are left to wonder: how long can a group of people resist both the dangers of human nature and the bloodshed at their doorstep?"
1124620,The Monkey,137.3053,5.901,2025-02-14,https://image.tmdb.org/t/p/w500/yYa8Onk9ow7ukcnfp2QWVvjWYel.jpg,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy."
1087192,How to Train Your Dragon,18.8988,0.0,2025-06-06,https://image.tmdb.org/t/p/w500/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society."
1197306,A Working Man,363.5091,6.505,2025-03-26,https://image.tmdb.org/t/p/w500/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined."
1195506,Novocaine,85.9556,6.92,2025-03-12,https://image.tmdb.org/t/p/w500/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back."
1242686,Salvable,15.8898,7.1,2025-05-01,https://image.tmdb.org/t/p/w500/cAPIS05UGqsTwiu0Qjs0WlIUW1l.jpg,"When a battered boxer past his prime finds his dreams and his relationships on the ropes, he falls back in with a dangerous crowd and has to take the biggest swing of his life to reclaim his hope and his family."
25771,Pink Floyd: Live at Pompeii,5.3157,8.1,1972-10-25,https://image.tmdb.org/t/p/w500/bxjgbHH14nEMx3YtFDLJ04omQhH.jpg,"British progressive rock band Pink Floyd perform at the ancient Roman Amphitheater in the ruins of Pompeii, Italy in 1971. Although the band perform a typical live set from the era, there is no audience beyond the basic film crew."
1276073,Bullet Train Explosion,102.2618,6.894,2025-04-23,https://image.tmdb.org/t/p/w500/jmzxlDBwgvRbpPJzNQwizyn9UEn.jpg,"When panic erupts on a Tokyo-bound bullet train that will explode if it slows below 100 kph, authorities race against time to save everyone on board."
238,The Godfather,47.8916,8.687,1972-03-14,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
1232546,Until Dawn,48.9642,6.5,2025-04-23,https://image.tmdb.org/t/p/w500/6O9nkcmZBymDXtxOGJmulqcxJdv.jpg,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening."
1371202,iHostage,19.9058,6.093,2025-04-18,https://image.tmdb.org/t/p/w500/tn3Ckxyc7OWXnhMPkiIBvqLdFC6.jpg,"When a gunman enters an Apple Store in the heart of Amsterdam, the police face a delicate challenge to resolve the standoff."
1247002,The Old Woman with the Knife,7.1354,0.0,2025-04-30,https://image.tmdb.org/t/p/w500/wbmxnsv41vsg5UEaNDlf203dOWw.jpg,"Hornclaw, a legendary assassin in her 60s, specialises in eliminating the scum of the earth. She has learned to accept loss but finds new meaning in her mundane yet bloody life when she meets Bullfight, a promising young killer who wants to work with her."
